ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
105595,Miguel Santisteban,M,20.0,181.0,64.0,Mexico,MEX,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Mens 200 metres Breaststroke,NoMedal
121942,Richard Trinkler,M,33.0,176.0,67.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Mens 100 kilometres Team Time Trial,Silver
105303,Marcus Johan Sandell,M,22.0,177.0,83.0,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Mens Giant Slalom,NoMedal
88775,Maximo Oliveras,M,34.0,175.0,70.0,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Mens Marathon,NoMedal
107979,Candice Henrietta Scott,F,27.0,180.0,100.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Womens Hammer Throw,NoMedal
28742,Lucien Pedro Lodevicus Dirksz,M,23.0,170.0,73.0,Aruba,ARU,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Mens Road Race Individual,NoMedal
13645,Karl Borschke,M,50.0,175.0,70.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Art Competitions,Art Competitions Mixed Painting Unknown Event,NoMedal
96661,Washington Augusto Poyet Carreras,M,25.0,189.0,83.0,Uruguay,URU,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Mens Basketball,NoMedal
6901,Emmanuel McDonald Bailey,M,31.0,180.0,65.0,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Mens 100 metres,Bronze
72687,Nigel Robert Neil Lyster,M,24.0,176.0,83.0,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Mens Team Pursuit 4000 metres,NoMedal
7486,H Harihar Banerjee,M,38.0,175.0,70.0,India,IND,1956 Summer,1956,Summer,Melbourne,Shooting,Shooting Mens SmallBore Rifle Three Positions 50 metres,NoMedal
100055,Sami Matti Repo,M,26.0,177.0,70.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Mens 10 kilometres,NoMedal
119483,Melchior Thalmann,M,24.0,175.0,70.0,Switzerland,SUI,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Mens Team AllAround,Silver
28914,Olena Mykolavna Dmytrash,F,24.0,173.0,51.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Womens Group,NoMedal
131671,Yvette Julie Wray Luker,F,21.0,170.0,63.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Womens Pentathlon,NoMedal
92216,Blanka Paul afrov,F,29.0,167.0,53.0,Czechoslovakia,TCH,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Womens 4 x 5 kilometres Relay,Silver
